Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"21204015: Ward 15",2805,2862,5667
"21204016: Ward 16",3582,3963,7545
"21204017: Ward 17",2514,2622,5133
"21204018: Ward 18",2586,2979,5562
"21204019: Ward 19",2667,2982,5649
"21204020: Ward 20",3048,3351,6402
"21206001: Ward 1",2592,2961,5553
"21206002: Ward 2",2865,3102,5961
"21206003: Ward 3",2787,3042,5829
"21206004: Ward 4",2658,2901,5559
"21206005: Ward 5",2901,3165,6066
"21206006: Ward 6",2529,2814,5343
"21206007: Ward 7",2829,3225,6051
"21206008: Ward 8",2544,2847,5391
"21206009: Ward 9",2322,2574,4896
"21206010: Ward 10",2322,2688,5010
"21206011: Ward 11",2799,3165,5964
"21206012: Ward 12",2181,2604,4782
"21206013: Ward 13",2658,3120,5778
"21207001: Ward 1",2214,2604,4821
"21207002: Ward 2",2817,2988,5805
"21207003: Ward 3",2544,2934,5478
"21207004: Ward 4",3513,3948,7461
"21207005: Ward 5",2733,2832,5562
"21207006: Ward 6",2856,3285,6144
"21207007: Ward 7",3081,3123,6204
"21207008: Ward 8",3378,3720,7098
"21207009: Ward 9",3945,4254,8202
"21207010: Ward 10",2952,2928,5880
"21207011: Ward 11",2133,2520,4650
"21207012: Ward 12",2643,2961,5607
"21207013: Ward 13",3123,3435,6561
"21207014: Ward 14",2781,3180,5961
"21207015: Ward 15",3642,3843,7485
"21207016: Ward 16",3717,3066,6783
"21207017: Ward 17",2343,2505,4848
"21207018: Ward 18",2997,3333,6327
"21207019: Ward 19",2388,2619,5007
"21207020: Ward 20",2634,2721,5355
"21207021: Ward 21",2703,3177,5883
"21208001: Ward 1",2517,2850,5364
"21208002: Ward 2",2088,2184,4272
"21208003: Ward 3",1617,1770,3384
"21208004: Ward 4",5457,5784,11241
"21301001: Ward 1",3216,3714,6930
"21301002: Ward 2",2634,2934,5565
"21301003: Ward 3",2385,2532,4917
"21301004: Ward 4",3072,3432,6504
"21301005: Ward 5",4248,4500,8751
"21301006: Ward 6",6294,5943,12234
"21301007: Ward 7",3924,4476,8403
"21301008: Ward 8",3117,3258,6372
"21301009: Ward 9",2787,3096,5880
"21302001: Ward 1",3216,3885,7101
"21302002: Ward 2",2670,2973,5643
"21302003: Ward 3",3510,4119,7629
"21302004: Ward 4",2823,3237,6060
"21302005: Ward 5",3438,3411,6849
"21303001: Ward 1",2214,2325,4539
"21303002: Ward 2",3042,2946,5988
"21303003: Ward 3",2766,3081,5847
"21303004: Ward 4",2655,2937,5592
"21304001: Ward 1",4347,4557,8907
"21304002: Ward 2",3330,3588,6918
"21304003: Ward 3",3237,3462,6699
"21304004: Ward 4",2475,2949,5427
"21304005: Ward 5",3180,2799,5976
"21304006: Ward 6",3501,3624,7125
"21304007: Ward 7",4893,5574,10464
"21304008: Ward 8",3021,3663,6684
"21304009: Ward 9",3207,3702,6906
"21304010: Ward 10",1992,2310,4302
"21304011: Ward 11",3804,4407,8211
"21304012: Ward 12",2805,2865,5667
"21304013: Ward 13",2763,2733,5493
"21304014: Ward 14",2922,3144,6066
"21304015: Ward 15",2295,2526,4824
"21304016: Ward 16",2847,3246,6093
"21304017: Ward 17",3240,3792,7035
"21304018: Ward 18",5994,6546,12537
"21304019: Ward 19",4098,4737,8835
"21304020: Ward 20",2949,3483,6432
"21304021: Ward 21",2895,3207,6102
"21304022: Ward 22",3834,4146,7980
"21304023: Ward 23",2184,2490,4674
"21304024: Ward 24",2490,3039,5526
"21304025: Ward 25",4398,5034,9429
"21304026: Ward 26",4461,4926,9390
"21304027: Ward 27",3456,3552,7011
"21305001: Ward 1",3468,3837,7305
"21305002: Ward 2",2652,3057,5712
"21305003: Ward 3",3198,3561,6762
"21305004: Ward 4",3744,4005,7749
"21305005: Ward 5",3795,4224,8016
"21305006: Ward 6",3483,3762,7245
"21305007: Ward 7",3048,3366,6417
"21305008: Ward 8",3588,3852,7437
"21305009: Ward 9",2646,3015,5658
"21305010: Ward 10",2889,3261,6147
"21305011: Ward 11",2310,2841,5151
"21305012: Ward 12",2922,3492,6414
"21305013: Ward 13",3573,3873,7446
"21305014: Ward 14",3960,4821,8784
"21305015: Ward 15",3477,3708,7182
"21305016: Ward 16",4062,4377,8439
"21305017: Ward 17",3354,3678,7035
"21305018: Ward 18",3501,3915,7413
"21305019: Ward 19",2562,2829,5391
"21305020: Ward 20",2904,3078,5982
"21305021: Ward 21",3657,4026,7686
"21306001: Ward 1",3351,3681,7029
"21306002: Ward 2",2682,3165,5844
"21306003: Ward 3",3243,3657,6900
"21306004: Ward 4",3255,3705,6960
"21306005: Ward 5",4746,4905,9648
"21306006: Ward 6",3606,4173,7779
"21306007: Ward 7",3954,4356,8310
"21306008: Ward 8",3657,4248,7908
"21306009: Ward 9",3195,3561,6753
"21306010: Ward 10",2676,3198,5871
"21306011: Ward 11",3306,3609,6915
"21306012: Ward 12",3018,3726,6744
"21306013: Ward 13",2760,3057,5820
"21306014: Ward 14",3786,3966,7752
"21306015: Ward 15",3561,3342,6903
"21306016: Ward 16",3057,3246,6300
"21306017: Ward 17",2769,3255,6024
"21307001: Ward 1",2721,3339,6060
"21307002: Ward 2",3108,3561,6669
"21307003: Ward 3",2571,3123,5694
"21307004: Ward 4",3327,3951,7281
"21307005: Ward 5",3144,3624,6768
"21307006: Ward 6",3726,4368,8091
"21307007: Ward 7",3654,4254,7911
"21307008: Ward 8",4125,4491,8619
"21307009: Ward 9",3738,3852,7587
"21307010: Ward 10",5220,6249,11472
"21307011: Ward 11",2475,3003,5475
"21307012: Ward 12",3579,4089,7668
"21307013: Ward 13",3723,4194,7917
"21307014: Ward 14",3780,4293,8073
"21307015: Ward 15",4287,5151,9435
"21307016: Ward 16",3624,4194,7821
"21307017: Ward 17",3771,4638,8403
"21307018: Ward 18",4224,4842,9069
"21307019: Ward 19",3963,4671,8637
"21307020: Ward 20",3189,3678,6870
"21308001: Ward 1",4014,4239,8256
"21308002: Ward 2",3243,3927,7170
"21308003: Ward 3",4110,4062,8175
"21308004: Ward 4",2694,3057,5751
"21308005: Ward 5",4131,4548,8679
"21308006: Ward 6",3006,3165,6171
"21308007: Ward 7",3153,3312,6465
"21308008: Ward 8",3285,3351,6636
"21308009: Ward 9",3006,3273,6279
"21401001: Ward 1",4344,5112,9459
"21401002: Ward 2",4683,5178,9858
"21401003: Ward 3",3879,4251,8130
"21401004: Ward 4",3507,3438,6948
"21401005: Ward 5",3954,4491,8448
"21401006: Ward 6",2490,2943,5433
"21401007: Ward 7",3675,3921,7599
"21401008: Ward 8",3108,3285,6390
"21401009: Ward 9",5169,6057,11223
"21401010: Ward 10",4128,4716,8847
"21401011: Ward 11",4092,4557,8649
"21401012: Ward 12",3678,4083,7758
"21401013: Ward 13",4545,5010,9558
"21401014: Ward 14",3333,3597,6930
"21401015: Ward 15",4017,4614,8634
"21401016: Ward 16",3495,3822,7314
"21401017: Ward 17",3384,3579,6966
"21402001: Ward 1",3156,3492,6645
"21402002: Ward 2",5460,6393,11856
"21402003: Ward 3",2484,2895,5379
"21402004: Ward 4",2343,2682,5025
"21402005: Ward 5",2289,2778,5067
"21402006: Ward 6",2949,3690,6639
"21402007: Ward 7",3219,3936,7155
"21402008: Ward 8",4575,5376,9951
"21402009: Ward 9",3144,3723,6864
"21402010: Ward 10",4152,4899,9054
"21402011: Ward 11",3576,4218,7794
"21402012: Ward 12",2655,2967,5619
"21402013: Ward 13",3150,3510,6663
"21402014: Ward 14",3375,3738,7116
"21402015: Ward 15",3384,3102,6486
"21402016: Ward 16",3000,2781,5778
"21402017: Ward 17",3159,3624,6783
"21402018: Ward 18",2826,3210,6036
"21402019: Ward 19",3906,4332,8238
"21403001: Ward 1",3690,3747,7434
"21403002: Ward 2",4296,4704,9000
"21403003: Ward 3",2664,3033,5694
"21403004: Ward 4",3486,4008,7494
"21403005: Ward 5",2256,2682,4938
"21403006: Ward 6",4344,4893,9240
"21404001: Ward 1",3003,3180,6186
"21404002: Ward 2",2217,2511,4728
"21404003: Ward 3",5178,4974,10149
"21404004: Ward 4",2544,2706,5250
"21404005: Ward 5",3477,3888,7368
"21503001: Ward 1",3267,3642,6912
"21503002: Ward 2",5469,5865,11334
"21503003: Ward 3",3951,4200,8151
"21503004: Ward 4",4005,4647,8652
"21503005: Ward 5",4644,5355,9999
"21503006: Ward 6",4884,5577,10458
"21503007: Ward 7",4701,5307,10008
"21503008: Ward 8",3318,4002,7320
"21503009: Ward 9",4449,4992,9441
"21503010: Ward 10",3783,4467,8250
"21503011: Ward 11",4158,5052,9213
