Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"29300029: Ward 29",9900,10623,20526
"29300030: Ward 30",6873,8085,14958
"29300031: Ward 31",10098,10716,20817
"29300032: Ward 32",11010,11817,22827
"29300033: Ward 33",8526,9105,17631
"29300034: Ward 34",10437,11214,21648
"29300035: Ward 35",9333,10347,19680
"29300036: Ward 36",6372,7365,13737
"29300037: Ward 37",9447,10062,19509
"29300038: Ward 38",8589,9039,17631
"29300039: Ward 39",8169,9135,17307
"29300040: Ward 40",13857,13158,27015
"29300041: Ward 41",23958,25779,49734
"29300042: Ward 42",9141,10050,19191
"29300043: Ward 43",7806,8586,16392
"29300044: Ward 44",12516,13638,26151
"29300045: Ward 45",10164,10671,20835
"29300046: Ward 46",8703,9702,18405
"29300047: Ward 47",7260,7986,15249
"29300048: Ward 48",7881,8319,16200
"29300049: Ward 49",8916,9678,18597
"29300050: Ward 50",12129,13014,25143
"29300051: Ward 51",11856,12387,24243
"29300052: Ward 52",11337,12249,23583
"29300053: Ward 53",15507,16248,31752
"29300054: Ward 54",11976,13266,25242
"29300055: Ward 55",12807,13665,26472
"29300056: Ward 56",11355,12822,24180
"29300057: Ward 57",7890,8697,16584
"29300058: Ward 58",8265,9177,17445
"29300059: Ward 59",7908,8913,16821
"29300060: Ward 60",12477,12666,25143
All cells in this table have been randomly rounded to base 3

