Province,Total number of shelters,NPO,State run,Unknown,beds_NPO,beds_State run,Total Number of beds,domestic violence (2016),sexual_crimes,adult_females (>19yrs – 2017),rate_sexual_crimes (%) (x1000),rate_domestic_abuse (x1000),percent_capacity_for_victim_domestic
Eastern Cape,19,19,,,138,,138,745,8050,2052171,3.92267506,3.6303017634,18.5234899329
Free State,9,8,,1,92,,92,327,3488,924540,3.772686958,3.536894023,28.1345565749
Gauteng,22,21,1,,507,120,627,1464,9566,4832144,1.979659547,3.0297110351,42.8278688525
KwaZulu-Natal,14,14,,,246,,246,1078,8484,3518402,2.411321958,3.0638909369,22.8200371058
Limpopo,8,7,1,,70,30,100,607,3828,1776486,2.154815743,3.4168577743,16.4744645799
Mpumalanga,7,5,2,,18,20,38,443,3216,1363894,2.357954504,3.2480530012,8.5778781038
North West,11,7,4,,69,49,118,411,4326,381470,11.340341311,10.7741106771,28.7104622871
Northern Cape,3,2,1,,20,5,25,126,1587,1173286,1.352611384,1.0739069587,19.8412698413
Western Cape,12,12,,,317,,317,674,7115,2232276,3.187329882,3.0193399024,47.0326409496
