Province,Total_number_of_shelters,NPO,State run,Unknown,beds_NPO,beds_State run,Total_Number_of_beds,Domestic_Abuse_(2016),Sexual_Crimes_(2016)_StatSA,Adult_Females_(in_millions)(>19yrs_–_2017),Prevalence_of_sexual_crimes_(per_10000_women),Prevalence_of_Domestic_Abuse_(per_10000_women),Percent_Capacity_for_Victims_of_Domestic_Abuse_(Beds/cases)
Eastern Cape,19,19,,,138,,138,745,8050,2.1,3.92267506,3.6303017634,18.5234899329
Free State,9,8,,1,92,,92,327,3488,0.9,3.772686958,3.536894023,28.1345565749
Gauteng,22,21,1,,507,120,627,1464,9566,4.8,1.979659547,3.0297110351,42.8278688525
KwaZulu-Natal,14,14,,,246,,246,1078,8484,3.5,2.411321958,3.0638909369,22.8200371058
Limpopo,8,7,1,,70,30,100,607,3828,1.8,2.154815743,3.4168577743,16.4744645799
Mpumalanga,7,5,2,,18,20,38,443,3216,1.4,2.357954504,3.2480530012,8.5778781038
North West,11,7,4,,69,49,118,411,4326,0.4,11.340341311,10.7741106771,28.7104622871
Northern Cape,3,2,1,,20,5,25,126,1587,1.2,1.352611384,1.0739069587,19.8412698413
Western Cape,12,12,,,317,,317,674,7115,2.2,3.187329882,3.0193399024,47.0326409496
