#,Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
1,Badplaas shelter,Badplaas in Gert Sibande district,NPO ,2,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
2,Tirisano shelter ,Mammethlake in Nkangala district,NPO ,5,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
3,Grace shelter ,Thekwane north in Ehlanzeni district,NPO ,6,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
4,Middelburg shelter,Middelburg in Nkangala district,NPO ,5,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
5,Grip shelter ,Nelspruit town in Ehlanzeni district,NPO ,new,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
6,Leseding shelter,Kwaggafontein in Nkangala district,State run ,10,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
7,Louisville shelter,Louisville in Ehlanzeni district,State run ,10,Ms Zodwa Mahlangu,013 766 3106,073 201 2292
,,,,38,,,
